category,questionText,option1,option2,option3,option4,correctAnswer,equation
Algebra,"Solve: 2x + 5 = 13","x = 4","x = 3","x = 5","x = 6",0,"2x + 5 = 13"
Algebra,"What is the value of x in 3x - 7 = 14?","x = 5","x = 7","x = 9","x = 3",1,"3x - 7 = 14"
Algebra,"Simplify: 4x + 3x - 2x","5x","6x","7x","3x",0,"4x + 3x - 2x"
Algebra,"Solve: x² - 9 = 0","x = ±3","x = ±9","x = 3","x = 9",0,"x² - 9 = 0"
Algebra,"Factor: x² + 5x + 6","(x + 2)(x + 3)","(x + 1)(x + 6)","(x - 2)(x - 3)","(x + 4)(x + 1)",0,"x² + 5x + 6"
Algebra,"What is the slope of the line y = 3x + 7?","3","7","10","1",0,"y = 3x + 7"
Algebra,"Solve: 2(x + 3) = 16","x = 5","x = 8","x = 4","x = 7",0,"2(x + 3) = 16"
Algebra,"Evaluate: (-2)³","8","-8","6","-6",1,"(-2)³"
Algebra,"Solve: |x - 4| = 7","x = 11 or x = -3","x = 3 or x = 11","x = -11 or x = 3","x = 7 or x = 1",0,"|x - 4| = 7"
Algebra,"What is the y-intercept of y = 2x - 5?","2","-5","5","0",1,"y = 2x - 5"
Algebra,"Solve: x² + 4x - 5 = 0","x = 1, x = -5","x = -1, x = 5","x = 2, x = -2","x = 0, x = 4",0,"x² + 4x - 5 = 0"
Algebra,"Simplify: (3x²)(4x³)","12x⁵","7x⁵","12x⁶","7x⁶",0,"(3x²)(4x³)"
Algebra,"What is the vertex of y = x² - 4x + 3?","(2, -1)","(-2, 1)","(4, 3)","(1, 0)",0,"y = x² - 4x + 3"
Algebra,"Solve: 5x + 2y = 10 for y","y = (10 - 5x)/2","y = 5x - 10","y = 10 - 5x","y = 2x + 5",0,"5x + 2y = 10"
Algebra,"Factor: x² - 16","(x + 4)(x - 4)","(x + 8)(x - 2)","(x - 8)(x + 2)","(x + 16)(x - 1)",0,"x² - 16"
Algebra,"What is the domain of f(x) = 1/(x - 3)?","All real numbers except x = 3","All real numbers except x = -3","All real numbers","x ≥ 3",0,"f(x) = 1/(x - 3)"
